PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
11352969,"Phase I clinical trial of alitretinoin and tamoxifen in breast cancer patients: toxicity, pharmacokinetic, and biomarker evaluations","Lawrence JA, Adamson PC, Caruso R, Chow C, Kleiner D, Murphy RF, Venzon DJ, Shovlin M, Noone M, Merino M, Cowan KH, Kaiser M, O'Shaughnessy J, Zujewski J.",J Clin Oncol. 2001 May 15;19(10):2754-63. doi: 10.1200/JCO.2001.19.10.2754.,Lawrence JA,J Clin Oncol,2001,16/05/01,,,10.1200/JCO.2001.19.10.2754
15663994,Interaction of nuclear receptor ligands with the Vitamin D signaling pathway in prostate cancer,"Peehl DM, Feldman D.",J Steroid Biochem Mol Biol. 2004 Nov;92(4):307-15. doi: 10.1016/j.jsbmb.2004.10.006. Epub 2004 Dec 16.,Peehl DM,J Steroid Biochem Mol Biol,2004,25/01/05,,,10.1016/j.jsbmb.2004.10.006
11595692,"A phase I trial and pharmacokinetic study of 9-cis-retinoic acid (ALRT1057) in pediatric patients with refractory cancer: a joint Pediatric Oncology Branch, National Cancer Institute, and Children's Cancer Group study","Adamson PC, Widemann BC, Reaman GH, Seibel NL, Murphy RF, Gillespie AF, Balis FM.",Clin Cancer Res. 2001 Oct;7(10):3034-9.,Adamson PC,Clin Cancer Res,2001,12/10/01,,,
16243370,Prostate cancer cell type-specific involvement of the VDR and RXR in regulation of the human PTHrP gene via a negative VDRE,"Sepulveda VA, Weigel NL, Falzon M.",Steroids. 2006 Feb;71(2):102-15. doi: 10.1016/j.steroids.2005.08.009. Epub 2005 Oct 21.,Sepulveda VA,Steroids,2006,26/10/05,,,10.1016/j.steroids.2005.08.009
10901377,Differential and antagonistic effects of 9-cis-retinoic acid and vitamin D analogues on pancreatic cancer cells in vitro,"Pettersson F, Colston KW, Dalgleish AG.",Br J Cancer. 2000 Jul;83(2):239-45. doi: 10.1054/bjoc.2000.1281.,Pettersson F,Br J Cancer,2000,20/07/00,PMC2363480,,10.1054/bjoc.2000.1281
10779693,Presence and inducibility of peroxisomes in a human glioblastoma cell line,"Cimini A, Cristiano L, Bernardo A, Farioli-Vecchioli S, Stefanini S, Cerù MP.",Biochim Biophys Acta. 2000 May 1;1474(3):397-409. doi: 10.1016/s0304-4165(00)00036-2.,Cimini A,Biochim Biophys Acta,2000,26/04/00,,,10.1016/s0304-4165(00)00036-2
23489423,9-cis retinoic acid is the ALDH1A1 product that stimulates melanogenesis,"Paterson EK, Ho H, Kapadia R, Ganesan AK.",Exp Dermatol. 2013 Mar;22(3):202-9. doi: 10.1111/exd.12099.,Paterson EK,Exp Dermatol,2013,16/03/13,PMC3602921,NIHMS439899,10.1111/exd.12099
9929154,"Effects of trans-retinoic acid, 9-cis-retinoic acid, 1alpha,25-(dihydroxy)vitamin D3 and a novel apoptosis-inducing retinoid on breast cancer and endothelial cell growth","Dawson MI, Chao WR, Hobbs PD, Zhang XK.",Cancer Lett. 1998 Nov 13;133(1):1-8. doi: 10.1016/s0304-3835(98)00147-5.,Dawson MI,Cancer Lett,1998,03/02/99,,,10.1016/s0304-3835(98)00147-5
10799735,Fatty acyl-CoAs inhibit retinoic acid-induced apoptosis in Hep3B cells,"Wan YJ, Cai Y, Cowan C, Magee TR.",Cancer Lett. 2000 Jun 1;154(1):19-27. doi: 10.1016/s0304-3835(00)00341-4.,Wan YJ,Cancer Lett,2000,09/05/00,,,10.1016/s0304-3835(00)00341-4
21792151,Furocoumarin derivatives from radix Angelicae dahuricae and their effects on RXRα transcriptional regulation,"Liu DP, Luo Q, Wang GH, Xu Y, Zhang XK, Chen QC, Chen HF.",Molecules. 2011 Jul 26;16(8):6339-48. doi: 10.3390/molecules16086339.,Liu DP,Molecules,2011,28/07/11,PMC6264713,,10.3390/molecules16086339
